event_id,visual_version,theme_backdrop_key,primary_ruid,primary_resource_type,accent_ruid,accent_resource_type,layout_ko,review_status
common_adventurer_rumor,1,common_travel,d6edfd593812496aa0751fece69f3c80,animationclip,2033775b697e47b991e813b93bc0c609,sprite,모험가를 왼쪽에 배치하고 대화가 새어 나오는 빛을 작게 표시,needs_visual_review
common_lost_merchant,1,common_travel,d7851ed771e54366ab4e0b6bd9e2b98c,animationclip,2fa098a799b04d0b92f065e551a901c7,sprite,상인과 고장 난 수레를 왼쪽 하단에 배치,needs_visual_review
common_roadside_chest,1,common_travel,346f6996f7384892b10bb417e0506604,animationclip,2033775b697e47b991e813b93bc0c609,sprite,잠긴 상자를 중앙 하단에 크게 배치하고 약한 빛을 표시,needs_visual_review
common_wandering_smith,1,common_travel,f1e3fb6ea6d146d29f4fab92dc5629e1,animationclip,2033775b697e47b991e813b93bc0c609,sprite,대장장이를 왼쪽에 배치하고 모루 작업의 불빛을 보조로 표시,needs_visual_review
common_duel_challenge,1,common_travel,1e05a2aad3314c5ea6d05624693feccc,animationclip,766d27c1f8ac4118ba28718b7d7eb372,sprite,결투 상대를 왼쪽에 배치하고 긴장감을 주는 마력 잔광을 표시,needs_visual_review
common_ruined_shrine,1,common_travel,6e662c08b4d544058f207e1acc6036fb,animationclip,2033775b697e47b991e813b93bc0c609,sprite,낡은 석상을 왼쪽에 배치하고 기도처의 은은한 빛을 표시,needs_visual_review
common_injured_scout,1,common_travel,3b42b322c1874f9e88e1f4b0de6167fa,animationclip,2033775b697e47b991e813b93bc0c609,sprite,정찰병을 왼쪽 하단에 배치하고 구조 신호 빛을 표시,needs_visual_review
common_odd_vendor,1,common_travel,d7851ed771e54366ab4e0b6bd9e2b98c,animationclip,5fcf0cef9d05448eb28dff1b4cfd96a6,sprite,행상을 왼쪽에 배치하고 수상한 상자를 보조로 표시,needs_visual_review
common_silent_camp,1,common_travel,2f24ee6fe04948e39c15f57a48e1cc96,animationclip,65cfdd5058804e16916365e1fd312fad,sprite,꺼져 가는 모닥불과 낡은 상자를 왼쪽 하단에 배치,needs_visual_review
common_stray_map,1,common_travel,a912f7cbb9f24d008aa665d4a76c4200,animationclip,2033775b697e47b991e813b93bc0c609,sprite,수상한 길잡이 장치를 왼쪽에 배치하고 지도 단서를 빛으로 표현,needs_visual_review
orbis_teal_glimmer,1,orbis_sky,80b0deab7ffd454c972b7a7aca044f03,animationclip,c549c30b8f8a4bb28f4b4f895118e87c,animationclip,요정을 왼쪽에 배치하고 청록색 관문 잔광을 뒤에 표시,needs_visual_review
orbis_shadow_bargain,1,orbis_sky,9668cd0cf8744136a6024cbd5679b503,animationclip,c549c30b8f8a4bb28f4b4f895118e87c,animationclip,인물을 왼쪽에 배치하고 어두운 관문 빛을 보조로 표시,needs_visual_review
orbis_empty_dock,1,orbis_sky,d6edfd593812496aa0751fece69f3c80,animationclip,9c9a690df5b14ead9abced0abb85e2c5,sprite,비행선 승무원과 경고 표식을 왼쪽 하단에 배치,needs_visual_review
orbis_cloud_bridge,1,orbis_sky,1e05a2aad3314c5ea6d05624693feccc,animationclip,2033775b697e47b991e813b93bc0c609,sprite,구름 위 존재를 왼쪽에 배치하고 아래쪽 안개 빛을 표시,needs_visual_review
orbis_star_chart,1,orbis_sky,a912f7cbb9f24d008aa665d4a76c4200,animationclip,2033775b697e47b991e813b93bc0c609,sprite,항해 장치를 왼쪽에 배치하고 별빛을 보조로 표시,needs_visual_review
orbis_wind_vane,1,orbis_sky,9c9a690df5b14ead9abced0abb85e2c5,sprite,80b0deab7ffd454c972b7a7aca044f03,animationclip,부서진 표식을 왼쪽에 배치하고 바람을 읽는 요정을 작게 표시,needs_visual_review
orbis_sky_pirate_signal,1,orbis_sky,d6edfd593812496aa0751fece69f3c80,animationclip,766d27c1f8ac4118ba28718b7d7eb372,sprite,승무원을 왼쪽에 배치하고 공중의 붉은 신호를 표시,needs_visual_review
orbis_cursed_feather,1,orbis_sky,ed638c5197e2405995d49bb5cab28a82,sprite,80b0deab7ffd454c972b7a7aca044f03,animationclip,검은 깃털을 중앙에 크게 배치하고 요정을 멀리 작게 표시,needs_visual_review
orbis_fallen_observatory,1,orbis_sky,6e662c08b4d544058f207e1acc6036fb,animationclip,2033775b697e47b991e813b93bc0c609,sprite,무너진 관측 장치를 왼쪽에 배치하고 별빛을 표시,needs_visual_review
orbis_airy_pouch,1,orbis_sky,1e05a2aad3314c5ea6d05624693feccc,animationclip,2033775b697e47b991e813b93bc0c609,sprite,바람의 정령을 왼쪽에 배치하고 가벼운 빛을 표시,needs_visual_review
elnath_frozen_footprints,1,elnath_snow,a194f219ac604855a93d2b34947be3de,animationclip,2033775b697e47b991e813b93bc0c609,sprite,눈 위의 새를 왼쪽에 배치하고 발자국의 반짝임을 표시,needs_visual_review
elnath_last_campfire,1,elnath_snow,2f24ee6fe04948e39c15f57a48e1cc96,animationclip,3b42b322c1874f9e88e1f4b0de6167fa,animationclip,모닥불을 왼쪽 하단에 배치하고 지친 여행자를 뒤에 표시,needs_visual_review
elnath_blizzard_echo,1,elnath_snow,af52279e9855479a99a819140a2ec92b,sprite,766d27c1f8ac4118ba28718b7d7eb372,sprite,얼음 마석을 왼쪽에 배치하고 휘몰아치는 마력 잔광을 표시,needs_visual_review
elnath_frozen_cabin,1,elnath_snow,3b42b322c1874f9e88e1f4b0de6167fa,animationclip,2f24ee6fe04948e39c15f57a48e1cc96,animationclip,산장 주인을 왼쪽에 배치하고 작은 난롯불을 보조로 표시,needs_visual_review
elnath_hunter_trail,1,elnath_snow,a194f219ac604855a93d2b34947be3de,animationclip,2033775b697e47b991e813b93bc0c609,sprite,눈올빼미를 왼쪽 위에 배치하고 사냥 흔적 빛을 표시,needs_visual_review
elnath_ice_cave,1,elnath_snow,331ffba694d347d5861f1ed0afd4804d,animationclip,af52279e9855479a99a819140a2ec92b,sprite,얼음 동굴의 마법진을 왼쪽에 배치하고 마석을 보조로 표시,needs_visual_review
elnath_snow_owl,1,elnath_snow,fe553cd376f64aa282aea66979ea9654,animationclip,2033775b697e47b991e813b93bc0c609,sprite,눈올빼미를 왼쪽에 크게 배치하고 눈빛을 강조,needs_visual_review
elnath_rope_bridge,1,elnath_snow,3b42b322c1874f9e88e1f4b0de6167fa,animationclip,766d27c1f8ac4118ba28718b7d7eb372,sprite,여행자를 왼쪽에 배치하고 끊어질 듯한 바람의 흔들림을 표시,needs_visual_review
