구분,아트 리소스 명,아트 리소스 종류,설명,RUID
1,대시 이펙트,이펙트,플래시 어썰터,429e8db08f1e486d8f783e7e51d05178
2,강화 대시 이펙트,이펙트,토파류:지,af919bf13ce04e3981cada2251a0c87f
3,능력 - 금강불괴 사용 이펙트,이펙트,,"affected: 51ecdf202d4d4c1f89704665df7be67d
effect: a95a6b448de941a79c89611929a161d4
repeat: 5fc73ad528a8460c8ad527b9e187e10d
"
4,능력 - 참공 사용 이펙트,이펙트,"화면 내 모든 투사체를 없애는 능력, 칼로 순식간에 없앤다는 느낌의 이펙트로 구현해도 괜찮아 보임",9aac6392c97e4b7f96899d3b02de1cf9
5,능력 - 부동심 사용 이펙트,이펙트,"공격을 1회 막는 능력으로, 보호막에 가까운 것을 사용하면 좋아보임 (""보호막"" 키워드 검색)",cc89658b5e734441b2b209a70cb96767
6,능력 - 만지 일섬 이펙트,이펙트,,b84c3c28e8284104b68d16b5cf0524b2
7,능력 - 회전베기 이펙트,이펙트,,0ccf46e988084f9480546814d0e3b8f1
8,기본 공격 이펙트,이펙트,,e87714e7b6d74841a677b25fd5d40c37
9,오르비스 보스 - 엘리쟈 공격 패턴 이펙트: 암흑 구체(투사체 이펙트나 스프라이트),이펙트,투사체 공격이므로 투사체에 대한 아트 리소스 필요,4c1188b428cc4db88744bc3893fa9f95
10,오르비스 보스 - 엘리쟈 공격 패턴 이펙트: 암흑 강림,이펙트,플레이어 위치에 큰 범위로 공격함.  그림자 쐐기와 똑같은 이펙트여도 됨.,73d5e7af2b0646c981baa02179a225c6
11,오르비스 보스 - 엘리쟈 공격 패턴 이펙트: 그림자 쐐기,이펙트,바닥에서 가시나 뾰족한게 쏫아오르는 느낌. 엘리쟈 패턴 중 하나 실제 존재,b14b3dbca0504af28e8d085c12b22000
12,엘나스 보스 - 스노우맨 공격 패턴 이펙트: 눈주먹 강타,이펙트,주먹이나 무언가를 내려치는 느낌,554e611c8b7246749c9aa28d0ba52417
13,엘나스 보스 - 스노우맨 공격 패턴 이펙트: 고드름 발사,이펙트,투사체 공격이므로 투사체에 대한 아트 리소스 필여,db94dacc4a58427eb2cc8d8889371947
14,엘나스 보스 - 스노우맨 공격 패턴 이펙트: 블리자드,이펙트,가로로 넓게 눈보라를 크게 일으켜 공격하는 이펙트,ec115dcc1b9540b6b74c9626b71e1d52
15,폐광 보스 - 자쿰 공격 패턴 이펙트: 팔 후려치기,이펙트,팔 후려치기지만 가로로 길게 내려 찍는 느낌,3c541f98fcbb485987cb92c92fd820a6
16,폐광 보스 - 자쿰 공격 패턴 이펙트: 박수 레이저,이펙트,실제로 자쿰 패턴 중 박수쳐서 레이저로 공격하는 패턴 존재. 해당 이첵트와 유사한 것 사용,d592e1106aeb4b14b3ee63d22667eeb1
17,폐광 보스 - 자쿰 공격 패턴 이펙트: 용암 분출,이펙트,"용암이 바닥에서 세로로 길게 분출되는 느낌의 이펙트 (""분출"" 키워드 검색)",378d1e424ca14b3a8987e6743f292bbf (애니메이터에서 Delay 수치 낮게 하면 문제 없어 보임)
18,플레이어 대시 잔상,이펙트,"메이플 내에 잔상 이펙트 활용이 어렵다면, 빠른 속도감을 나타내는 이펙트 추가",501740404aa34e7b80e0dc56c8aa21b9
19,보스 그로기 상태 표시 이펙트/UI,이펙트,보스가 그로기 상태임을 알려주는 이펙트 (보스 중심에 이펙트 출력 혹은 UI 상이나 보스 머리 위에 표시),9d249b2b40c143269a88ecf31358c6eb
